Zone,Type,Is_New,Is_Ext,Has_Lift,Has_Parking,Bathrooms,Size_Interval,Floor,Offers,Price_m2_med,Price_m2_mean,Price_med,Price_mean,Rooms_med,Year,Month,Week,Category,Zone_Catg
San Cristobal,flat,False,True,False,False,1,"(60, 70]",int,18,1333,1342,89450,87922,3.00,2021,M01,W02,fe65b1,San Cristobal fe65b1
San Diego,flat,False,True,False,False,1,"(50, 60]",int,16,1675,1654,90000,91271,2.00,2021,M01,W02,fe55b1,San Diego fe55b1
Entrevias,flat,False,True,False,False,1,"(60, 70]",int,13,1390,1381,94000,92442,3.00,2021,M01,W02,fe65b1,Entrevias fe65b1
San Cristobal,flat,False,True,False,False,1,"(50, 60]",int,12,1348,1381,80920,81713,3.00,2021,M01,W02,fe55b1,San Cristobal fe55b1
San Andres,flat,False,True,False,False,1,"(60, 70]",int,11,1427,1402,96100,92454,3.00,2021,M01,W02,fe65b1,San Andres fe65b1
San Andres,flat,False,True,False,False,1,"(50, 60]",int,10,1545,1563,89950,89488,2.00,2021,M01,W02,fe55b1,San Andres fe55b1
Amposta,flat,False,True,False,False,1,"(50, 60]",int,10,1773,1700,93630,92705,2.00,2021,M01,W02,fe55b1,Amposta fe55b1
Amposta,flat,False,True,False,False,1,"(40, 50]",int,10,1775,1771,84500,83400,2.00,2021,M01,W02,fe45b1,Amposta fe45b1
San Cristobal,flat,False,True,True,False,1,"(60, 70]",int,9,1286,1305,87000,88840,3.00,2021,M01,W02,fe65b1lf,San Cristobal fe65b1lf
San Diego,flat,False,True,False,False,1,"(40, 50]",int,9,1854,1895,89000,87533,2.00,2021,M01,W02,fe45b1,San Diego fe45b1
Casco Historico de Vallecas,flat,False,True,False,False,1,"(50, 60]",int,8,1616,1657,94000,93562,2.00,2021,M01,W02,fe55b1,Casco Historico de Vallecas fe55b1
San Andres,flat,False,True,False,False,1,"(50, 60]",bj,7,1466,1492,85000,86285,2.00,2021,M01,W02,fe55b1bj,San Andres fe55b1bj
Entrevias,flat,False,True,False,False,1,"(50, 60]",int,6,1562,1545,87000,89250,2.00,2021,M01,W02,fe55b1,Entrevias fe55b1
Hellin,flat,False,True,False,False,1,"(40, 50]",int,6,1909,1949,94500,94833,2.00,2021,M01,W02,fe45b1,Hellin fe45b1
Arcos,flat,False,True,False,False,1,"(50, 60]",int,6,1654,1684,94000,93250,3.00,2021,M01,W02,fe55b1,Arcos fe55b1
Vista Alegre,flat,False,True,False,False,1,"(50, 60]",int,6,1778,1756,96000,96500,1.00,2021,M01,W02,fe55b1,Vista Alegre fe55b1
Los Rosales,flat,False,True,False,False,1,"(50, 60]",int,6,1691,1641,95130,90043,2.00,2021,M01,W02,fe55b1,Los Rosales fe55b1
Amposta,flat,False,True,False,False,1,"(40, 50]",bj,5,1840,1832,92000,87680,2.00,2021,M01,W02,fe45b1bj,Amposta fe45b1bj
San Diego,flat,False,False,False,False,1,"(40, 50]",int,5,1778,1742,80000,81019,1.00,2021,M01,W02,f45b1,San Diego f45b1
San Diego,flat,False,True,False,False,1,"(70, 80]",int,5,1244,1240,99000,96034,3.00,2021,M01,W02,fe75b1,San Diego fe75b1
San Diego,flat,False,True,True,False,1,"(40, 50]",int,5,2040,1870,89758,85751,1.00,2021,M01,W02,fe45b1lf,San Diego fe45b1lf
Entrevias,flat,False,True,False,False,1,"(70, 80]",int,5,1306,1275,94000,95100,3.00,2021,M01,W02,fe75b1,Entrevias fe75b1
San Cristobal,flat,False,True,False,False,1,"(70, 80]",int,5,1176,1143,87000,84898,3.00,2021,M01,W02,fe75b1,San Cristobal fe75b1
Hellin,flat,False,True,False,False,1,"(50, 60]",int,5,1709,1736,94000,96200,2.00,2021,M01,W02,fe55b1,Hellin fe55b1
Palomeras Bajas,flat,False,True,False,False,1,"(50, 60]",int,5,1533,1516,92000,87120,2.00,2021,M01,W02,fe55b1,Palomeras Bajas fe55b1
San Andres,flat,False,True,False,False,1,"(70, 80]",int,4,1287,1290,96500,96750,3.00,2021,M01,W02,fe75b1,San Andres fe75b1
Numancia,flat,False,False,False,False,1,"(40, 50]",bj,4,1773,1830,78000,83250,1.00,2021,M01,W02,f45b1bj,Numancia f45b1bj
Los Angeles,flat,False,True,False,False,1,"(50, 60]",int,4,1437,1460,84000,83225,2.00,2021,M01,W02,fe55b1,Los Angeles fe55b1
Lavapies-Embajadores,flat,False,False,False,False,1,"(20, 30]",int,4,2991,3209,89250,85750,1.50,2021,M01,W02,f25b1,Lavapies-Embajadores f25b1
San Andres,flat,False,False,False,False,1,"(60, 70]",bj,4,1331,1276,81200,80400,2.00,2021,M01,W02,f65b1bj,San Andres f65b1bj
Numancia,flat,False,True,False,False,1,"(50, 60]",int,4,1635,1637,96500,95000,2.50,2021,M01,W02,fe55b1,Numancia fe55b1
Puerta Bonita,flat,False,True,False,False,1,"(60, 70]",int,4,1505,1525,96500,96049,2.50,2021,M01,W02,fe65b1,Puerta Bonita fe65b1
San Diego,flat,False,True,False,False,1,"(60, 70]",int,4,1439,1452,94000,94225,3.00,2021,M01,W02,fe65b1,San Diego fe65b1
Ensanche de Vallecas - La Gavia,flat,False,True,True,1.0,1,"(40, 50]",int,4,1920,1918,95500,94500,1.00,2021,M01,W02,"flat_False_True_True_1.0_1_(40, 50]_int","Ensanche de Vallecas - La Gavia flat_False_True_True_1.0_1_(40, 50]_int"
Casco Historico de Vallecas,flat,False,True,False,False,1,"(50, 60]",bj,4,1533,1623,90500,89250,2.00,2021,M01,W02,fe55b1bj,Casco Historico de Vallecas fe55b1bj
Portazgo,flat,False,True,False,False,1,"(40, 50]",bj,4,1920,1808,96000,89374,2.00,2021,M01,W02,fe45b1bj,Portazgo fe45b1bj
Palomeras sureste,flat,False,True,False,False,1,"(50, 60]",int,4,1601,1636,91200,93075,2.00,2021,M01,W02,fe55b1,Palomeras sureste fe55b1
San Diego,flat,False,True,False,False,1,"(40, 50]",bj,4,1646,1695,71500,76750,2.00,2021,M01,W02,fe45b1bj,San Diego fe45b1bj
San Cristobal,flat,False,False,False,False,1,"(50, 60]",int,3,1276,1319,74000,77833,3.00,2021,M01,W02,f55b1,San Cristobal f55b1
San Diego,flat,False,False,True,False,1,"(50, 60]",bj,3,1667,1626,90000,88333,1.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_bj","San Diego flat_False_False_True_False_1_(50, 60]_bj"
Casco Historico de Vallecas,flat,False,True,False,False,1,"(40, 50]",int,3,1900,1925,95000,95633,2.00,2021,M01,W02,fe45b1,Casco Historico de Vallecas fe45b1
Casco Historico de Vallecas,flat,False,True,False,False,1,"(60, 70]",int,3,1581,1582,98000,98633,3.00,2021,M01,W02,fe65b1,Casco Historico de Vallecas fe65b1
Simancas,flat,False,True,True,False,1,"(40, 50]",int,3,1860,1890,93000,94500,2.00,2021,M01,W02,fe45b1lf,Simancas fe45b1lf
Simancas,flat,False,True,False,False,1,"(40, 50]",int,3,1850,1801,89900,84466,2.00,2021,M01,W02,fe45b1,Simancas fe45b1
Bellas Vistas,flat,False,False,False,False,1,"(20, 30]",bj,3,3333,3644,98000,95333,2.00,2021,M01,W02,f25b1bj,Bellas Vistas f25b1bj
Pinar del Rey,flat,False,True,False,False,1,"(30, 40]",bj,3,2541,2642,99000,97333,0.00,2021,M01,W02,fe35b1bj,Pinar del Rey fe35b1bj
San Andres,flat,False,False,False,False,1,"(70, 80]",int,3,1253,1263,95000,96333,3.00,2021,M01,W02,f75b1,San Andres f75b1
San Andres,flat,False,False,False,False,1,"(50, 60]",bj,3,1571,1536,88000,83600,2.00,2021,M01,W02,f55b1bj,San Andres f55b1bj
Numancia,flat,False,True,False,False,1,"(30, 40]",int,3,2424,2389,80000,81333,1.00,2021,M01,W02,fe35b1,Numancia fe35b1
Portazgo,flat,False,True,False,False,1,"(40, 50]",int,3,1980,1835,99000,88666,2.00,2021,M01,W02,fe45b1,Portazgo fe45b1
Portazgo,flat,False,True,False,False,1,"(50, 60]",int,3,1659,1656,93000,93288,2.00,2021,M01,W02,fe55b1,Portazgo fe55b1
Palomeras Bajas,flat,False,True,False,False,1,"(40, 50]",int,3,1876,1871,91900,92933,2.00,2021,M01,W02,fe45b1,Palomeras Bajas fe45b1
Palomeras Bajas,flat,False,True,False,False,1,"(40, 50]",bj,3,1970,1906,86700,90233,2.00,2021,M01,W02,fe45b1bj,Palomeras Bajas fe45b1bj
Pradolongo,flat,False,True,False,False,1,"(50, 60]",int,3,1633,1647,98000,95000,2.00,2021,M01,W02,fe55b1,Pradolongo fe55b1
Puerta Bonita,flat,False,True,False,False,1,"(40, 50]",bj,3,1976,1798,83000,84000,2.00,2021,M01,W02,fe45b1bj,Puerta Bonita fe45b1bj
12 de Octubre-Orcasur,flat,False,True,False,False,1,"(40, 50]",int,3,2143,2143,90000,90000,1.00,2021,M01,W02,fe45b1,12 de Octubre-Orcasur fe45b1
Puerta Bonita,flat,False,True,False,False,1,"(50, 60]",int,3,1745,1681,96000,93966,3.00,2021,M01,W02,fe55b1,Puerta Bonita fe55b1
Vista Alegre,flat,False,False,False,False,1,"(50, 60]",int,3,1671,1658,91881,93460,2.00,2021,M01,W02,f55b1,Vista Alegre f55b1
Numancia,flat,False,True,False,False,1,"(40, 50]",bj,3,1889,1903,85000,85666,1.00,2021,M01,W02,fe45b1bj,Numancia fe45b1bj
San Diego,flat,False,True,True,False,1,"(60, 70]",int,3,1523,1495,95674,96558,3.00,2021,M01,W02,fe65b1lf,San Diego fe65b1lf
Amposta,flat,False,True,False,False,1,"(50, 60]",bj,3,1636,1588,89000,86333,3.00,2021,M01,W02,fe55b1bj,Amposta fe55b1bj
Moscardo,flat,False,True,False,False,1,"(50, 60]",int,3,1574,1684,85000,89666,2.00,2021,M01,W02,fe55b1,Moscardo fe55b1
Ambroz,flat,False,True,False,False,1,"(50, 60]",int,3,1650,1680,99000,96333,3.00,2021,M01,W02,fe55b1,Ambroz fe55b1
San Andres,flat,False,True,False,False,1,"(60, 70]",bj,2,1370,1370,92500,92500,2.00,2021,M01,W02,fe65b1bj,San Andres fe65b1bj
San Andres,flat,False,False,False,False,1,"(70, 80]",int,2,1251,1251,95000,95000,3.00,2021,M01,W02,f75b1,San Andres f75b1
Entrevias,flat,False,True,True,False,1,"(60, 70]",int,2,1442,1442,99500,99500,2.50,2021,M01,W02,fe65b1lf,Entrevias fe65b1lf
Los Rosales,flat,False,True,False,False,1,"(60, 70]",int,2,1425,1425,92000,92000,2.00,2021,M01,W02,fe65b1,Los Rosales fe65b1
Puerta Bonita,flat,False,False,False,False,1,"(50, 60]",int,2,1471,1471,76500,76500,1.50,2021,M01,W02,f55b1,Puerta Bonita f55b1
Entrevias,chalet,False,False,False,False,1,"(80, 90]",int,2,1193,1193,99000,99000,3.00,2021,M01,W02,"chalet_False_False_False_False_1_(80, 90]_int","Entrevias chalet_False_False_False_False_1_(80, 90]_int"
Entrevias,chalet,False,False,False,False,1,"(60, 70]",bj,2,1613,1613,100000,100000,2.00,2021,M01,W02,"chalet_False_False_False_False_1_(60, 70]_bj","Entrevias chalet_False_False_False_False_1_(60, 70]_bj"
Pueblo Nuevo,flat,False,True,False,False,1,"(30, 40]",bj,2,2840,2840,98000,98000,1.00,2021,M01,W02,fe35b1bj,Pueblo Nuevo fe35b1bj
Ensanche de Vallecas - La Gavia,flat,False,True,True,1.0,1,"(50, 60]",int,2,1765,1765,90000,90000,0.00,2021,M01,W02,"flat_False_True_True_1.0_1_(50, 60]_int","Ensanche de Vallecas - La Gavia flat_False_True_True_1.0_1_(50, 60]_int"
San Andres,flat,False,True,True,False,1,"(50, 60]",int,2,1623,1623,97400,97400,2.00,2021,M01,W02,fe55b1lf,San Andres fe55b1lf
Palomeras Bajas,flat,False,True,True,False,1,"(60, 70]",int,2,1311,1311,82000,82000,3.00,2021,M01,W02,fe65b1lf,Palomeras Bajas fe65b1lf
Puerta Bonita,flat,False,True,False,False,1,"(40, 50]",int,2,1834,1834,87000,87000,2.50,2021,M01,W02,fe45b1,Puerta Bonita fe45b1
Comillas,flat,False,True,False,False,1,"(50, 60]",int,2,1767,1767,99500,99500,2.00,2021,M01,W02,fe55b1,Comillas fe55b1
Palomeras Bajas,flat,False,True,False,False,1,"(60, 70]",int,2,1513,1513,99500,99500,3.00,2021,M01,W02,fe65b1,Palomeras Bajas fe65b1
Pradolongo,flat,False,True,False,False,1,"(30, 40]",int,2,2791,2791,93450,93450,1.00,2021,M01,W02,fe35b1,Pradolongo fe35b1
Lucero,flat,False,True,False,False,1,"(40, 50]",int,2,1799,1799,89950,89950,2.00,2021,M01,W02,fe45b1,Lucero fe45b1
Palomeras sureste,flat,False,True,False,False,1,"(20, 30]",bj,2,2410,2410,70000,70000,0.00,2021,M01,W02,fe25b1bj,Palomeras sureste fe25b1bj
Palomeras sureste,flat,False,True,False,False,1,"(60, 70]",int,2,1500,1500,96000,96000,2.50,2021,M01,W02,fe65b1,Palomeras sureste fe65b1
Entrevias,flat,False,True,True,False,1,"(90, 100]",int,2,1026,1026,98500,98500,3.00,2021,M01,W02,"flat_False_True_True_False_1_(90, 100]_int","Entrevias flat_False_True_True_False_1_(90, 100]_int"
Puerta Bonita,flat,False,True,False,False,1,"(50, 60]",bj,2,1681,1681,89999,89999,2.00,2021,M01,W02,fe55b1bj,Puerta Bonita fe55b1bj
Puerta del Angel,flat,False,True,False,False,1,"(30, 40]",int,2,2601,2601,91750,91750,1.00,2021,M01,W02,fe35b1,Puerta del Angel fe35b1
San Cristobal,flat,False,False,False,False,1,"(70, 80]",int,2,1021,1021,76500,76500,3.00,2021,M01,W02,f75b1,San Cristobal f75b1
Los Carmenes,flat,False,True,False,False,1,"(30, 40]",bj,2,1900,1900,76000,76000,0.50,2021,M01,W02,fe35b1bj,Los Carmenes fe35b1bj
Numancia,flat,False,True,True,False,1,"(50, 60]",int,2,1680,1680,99950,99950,2.00,2021,M01,W02,fe55b1lf,Numancia fe55b1lf
San Cristobal,flat,False,False,False,False,1,"(50, 60]",int,2,1388,1388,81250,81250,3.00,2021,M01,W02,f55b1,San Cristobal f55b1
Numancia,flat,False,True,False,False,1,"(30, 40]",bj,2,2508,2508,95250,95250,0.50,2021,M01,W02,fe35b1bj,Numancia fe35b1bj
San Cristobal,flat,False,False,True,False,1,"(50, 60]",int,2,1271,1271,71095,71095,2.00,2021,M01,W02,"flat_False_False_True_False_1_(50, 60]_int","San Cristobal flat_False_False_True_False_1_(50, 60]_int"
San Cristobal,flat,False,False,False,False,1,"(60, 70]",int,2,1285,1285,84000,84000,3.00,2021,M01,W02,f65b1,San Cristobal f65b1
Lavapies-Embajadores,flat,False,False,False,False,1,"(10, 20]",int,2,5141,5141,97499,97499,0.00,2021,M01,W02,"flat_False_False_False_False_1_(10, 20]_int","Lavapies-Embajadores flat_False_False_False_False_1_(10, 20]_int"
Numancia,flat,False,True,False,False,1,"(40, 50]",int,2,1806,1806,85000,85000,1.50,2021,M01,W02,fe45b1,Numancia fe45b1
San Andres,flat,False,True,False,False,1,"(40, 50]",int,2,1765,1765,78750,78750,1.50,2021,M01,W02,fe45b1,San Andres fe45b1
Numancia,flat,False,True,False,False,1,"(50, 60]",bj,2,1497,1497,84500,84500,2.00,2021,M01,W02,fe55b1bj,Numancia fe55b1bj
San Andres,flat,False,False,False,False,1,"(60, 70]",int,2,1409,1409,89546,89546,3.00,2021,M01,W02,f65b1,San Andres f65b1
Opañel,flat,False,True,False,False,1,"(50, 60]",int,2,1758,1758,99950,99950,2.50,2021,M01,W02,fe55b1,Opañel fe55b1
Los Rosales,flat,False,True,False,False,1,"(50, 60]",bj,2,1639,1639,91500,91500,1.50,2021,M01,W02,fe55b1bj,Los Rosales fe55b1bj
Quintana,flat,False,True,False,False,1,"(40, 50]",bj,2,2000,2000,100000,100000,2.00,2021,M01,W02,fe45b1bj,Quintana fe45b1bj
Entrevias,flat,False,True,False,False,2,"(80, 90]",int,2,1113,1113,93520,93520,3.00,2021,M01,W02,"flat_False_True_False_False_2_(80, 90]_int","Entrevias flat_False_True_False_False_2_(80, 90]_int"
Entrevias,flat,False,True,False,False,1,"(80, 90]",bj,2,1039,1039,93500,93500,2.00,2021,M01,W02,"flat_False_True_False_False_1_(80, 90]_bj","Entrevias flat_False_True_False_False_1_(80, 90]_bj"
Puerta del Angel,flat,False,False,False,False,1,"(30, 40]",int,2,3152,3152,99250,99250,1.50,2021,M01,W02,f35b1,Puerta del Angel f35b1
San Diego,flat,False,False,False,False,1,"(40, 50]",bj,2,1679,1679,79000,79000,1.50,2021,M01,W02,f45b1bj,San Diego f45b1bj
San Isidro,flat,False,True,False,False,1,"(30, 40]",bj,2,2046,2046,77500,77500,1.00,2021,M01,W02,fe35b1bj,San Isidro fe35b1bj
San Fermin,flat,False,True,False,False,1,"(60, 70]",int,2,1496,1496,95000,95000,2.50,2021,M01,W02,fe65b1,San Fermin fe65b1
Campamento,flat,False,True,False,False,1,"(50, 60]",bj,2,1688,1688,97000,97000,2.50,2021,M01,W02,fe55b1bj,Campamento fe55b1bj
Almendrales,flat,False,False,False,False,1,"(30, 40]",bj,2,2188,2188,74000,74000,1.00,2021,M01,W02,f35b1bj,Almendrales f35b1bj
Campamento,flat,False,True,True,False,1,"(60, 70]",bj,2,1523,1523,99000,99000,3.00,2021,M01,W02,"flat_False_True_True_False_1_(60, 70]_bj","Campamento flat_False_True_True_False_1_(60, 70]_bj"
Almendrales,flat,False,True,False,False,1,"(50, 60]",int,2,1702,1702,96000,96000,2.00,2021,M01,W02,fe55b1,Almendrales fe55b1
Vista Alegre,flat,False,False,False,False,1,"(50, 60]",int,2,1508,1508,82955,82955,2.50,2021,M01,W02,f55b1,Vista Alegre f55b1
Berruguete,flat,False,False,False,False,1,"(20, 30]",bj,2,3056,3056,90100,90100,1.50,2021,M01,W02,f25b1bj,Berruguete f25b1bj
Butarque,flat,False,True,False,False,1,"(60, 70]",int,2,1347,1347,88250,88250,2.50,2021,M01,W02,fe65b1,Butarque fe65b1
Butarque,flat,False,True,False,False,1,"(50, 60]",int,2,1521,1521,87750,87750,2.50,2021,M01,W02,fe55b1,Butarque fe55b1
Simancas,flat,False,True,True,False,1,"(40, 50]",bj,2,2189,2189,94175,94175,1.50,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","Simancas flat_False_True_True_False_1_(40, 50]_bj"
San Isidro,flat,False,False,False,False,1,"(50, 60]",int,2,1725,1725,88000,88000,2.00,2021,M01,W02,f55b1,San Isidro f55b1
San Isidro,flat,False,False,False,False,1,"(60, 70]",int,2,1328,1328,88926,88926,3.00,2021,M01,W02,f65b1,San Isidro f65b1
Berruguete,flat,False,True,False,False,1,"(20, 30]",bj,2,3378,3378,89500,89500,1.00,2021,M01,W02,fe25b1bj,Berruguete fe25b1bj
Buena Vista,flat,False,True,False,False,1,"(60, 70]",int,2,1519,1519,94950,94950,2.00,2021,M01,W02,fe65b1,Buena Vista fe65b1
Buena Vista,flat,False,True,False,False,1,"(50, 60]",int,2,1579,1579,92250,92250,2.50,2021,M01,W02,fe55b1,Buena Vista fe55b1
Buena Vista,flat,False,True,False,False,1,"(50, 60]",bj,2,1665,1665,92999,92999,1.00,2021,M01,W02,fe55b1bj,Buena Vista fe55b1bj
Buena Vista,flat,False,True,False,False,1,"(20, 30]",bj,2,3312,3312,82800,82800,1.00,2021,M01,W02,fe25b1bj,Buena Vista fe25b1bj
Buena Vista,flat,False,False,False,False,1,"(20, 30]",bj,2,3189,3189,82800,82800,1.00,2021,M01,W02,f25b1bj,Buena Vista f25b1bj
Simancas,flat,False,True,False,False,1,"(50, 60]",int,2,1841,1841,97500,97500,2.00,2021,M01,W02,fe55b1,Simancas fe55b1
Vista Alegre,flat,False,True,False,False,1,"(40, 50]",bj,2,1732,1732,79500,79500,1.50,2021,M01,W02,fe45b1bj,Vista Alegre fe45b1bj
Casco Historico de Vallecas,flat,False,True,False,False,1,"(40, 50]",bj,2,1988,1988,97450,97450,2.00,2021,M01,W02,fe45b1bj,Casco Historico de Vallecas fe45b1bj
Abrantes,flat,False,False,False,False,1,"(40, 50]",int,2,2103,2103,97445,97445,1.50,2021,M01,W02,f45b1,Abrantes f45b1
Aluche,flat,False,True,False,False,1,"(60, 70]",int,2,1345,1345,89950,89950,2.50,2021,M01,W02,fe65b1,Aluche fe65b1
San Diego,flat,False,True,False,False,1,"(70, 80]",bj,2,1226,1226,89500,89500,3.00,2021,M01,W02,fe75b1bj,San Diego fe75b1bj
Zofio,flat,False,True,False,False,1,"(50, 60]",bj,2,1562,1562,87500,87500,2.00,2021,M01,W02,fe55b1bj,Zofio fe55b1bj
San Diego,flat,False,True,False,False,1,"(50, 60]",bj,2,1494,1494,80450,80450,2.50,2021,M01,W02,fe55b1bj,San Diego fe55b1bj
Abrantes,flat,False,True,False,False,1,"(40, 50]",int,2,2211,2211,99500,99500,1.00,2021,M01,W02,fe45b1,Abrantes fe45b1
San Diego,flat,False,True,False,False,1,"(30, 40]",int,2,2418,2418,91750,91750,1.50,2021,M01,W02,fe35b1,San Diego fe35b1
Abrantes,flat,False,True,False,False,1,"(50, 60]",int,2,1696,1696,97400,97400,2.50,2021,M01,W02,fe55b1,Abrantes fe55b1
Vista Alegre,flat,False,False,False,False,1,"(60, 70]",int,1,1202,1202,79358,79358,2.00,2021,M01,W02,f65b1,Vista Alegre f65b1
Vista Alegre,flat,False,True,True,False,1,"(40, 50]",bj,1,2200,2200,99000,99000,1.00,2021,M01,W02,"flat_False_True_True_False_1_(40, 50]_bj","Vista Alegre flat_False_True_True_False_1_(40, 50]_bj"
Vista Alegre,flat,False,True,False,False,1,"(30, 40]",bj,1,2378,2378,88000,88000,1.00,2021,M01,W02,fe35b1bj,Vista Alegre fe35b1bj
Puerta del Angel,flat,False,True,False,False,1,"(40, 50]",bj,1,1500,1500,75000,75000,2.00,2021,M01,W02,fe45b1bj,Puerta del Angel fe45b1bj
Valdezarza,flat,False,True,False,False,1,"(30, 40]",int,1,2543,2543,89000,89000,1.00,2021,M01,W02,fe35b1,Valdezarza fe35b1
Valdezarza,flat,False,True,True,False,1,"(50, 60]",bj,1,1364,1364,75000,75000,2.00,2021,M01,W02,"flat_False_True_True_False_1_(50, 60]_bj","Valdezarza flat_False_True_True_False_1_(50, 60]_bj"
Puerta Bonita,flat,False,True,False,False,1,"(60, 70]",bj,1,1508,1508,98000,98000,2.00,2021,M01,W02,fe65b1bj,Puerta Bonita fe65b1bj
Vista Alegre,flat,False,False,False,False,1,"(40, 50]",bj,1,2200,2200,99000,99000,1.00,2021,M01,W02,f45b1bj,Vista Alegre f45b1bj
Ventas,flat,False,True,False,False,1,"(20, 30]",bj,1,3300,3300,99000,99000,0.00,2021,M01,W02,fe25b1bj,Ventas fe25b1bj
Vista Alegre,flat,False,False,False,False,1,"(30, 40]",bj,1,2854,2854,99900,99900,1.00,2021,M01,W02,f35b1bj,Vista Alegre f35b1bj
